topk,ARR,IR,MDD,CR
150,N/A,N/A,N/A,N/A
200,N/A,N/A,N/A,N/A
250,N/A,N/A,N/A,N/A
300,N/A,N/A,N/A,N/A
350,N/A,N/A,N/A,N/A
400,N/A,N/A,N/A,N/A
