date,daily_excess_return,cumulative_excess_return
2022-01-04,0.012582680455065668,0.012582680455065668
2022-01-05,0.016128022118467433,0.0287107025735331
2022-01-06,0.002077647729487005,0.030788350303020105
2022-01-07,0.010739529461304716,0.04152787976432482
2022-01-10,0.0037657101869507845,0.04529358995127561
2022-01-11,0.006954012084416789,0.0522476020356924
2022-01-12,-0.010013772978659423,0.042233829057032976
2022-01-13,0.010655797157006331,0.05288962621403931
2022-01-14,-0.013789435878405157,0.03910019033563415
2022-01-17,-0.005943224783268562,0.03315696555236559
2022-01-18,-0.001292082590361169,0.03186488296200442
2022-01-19,0.0070715881313594495,0.038936471093363866
2022-01-20,0.008412695844006944,0.04734916693737081
2022-01-21,0.005184788138060595,0.052533955075431404
2022-01-24,-0.013422136302195076,0.03911181877323633
2022-01-25,0.001029563169338484,0.040141381942574814
2022-01-26,-0.000988911108990299,0.039152470833584516
2022-01-27,0.007060565249003159,0.04621303608258767
2022-01-28,0.008497131914373193,0.054710167996960865
2022-02-07,0.005503728555862369,0.060213896552823234
2022-02-08,0.012011350736295045,0.07222524728911828
2022-02-09,-0.006155252749722714,0.06606999453939556
2022-02-10,0.004953751759358324,0.07102374629875388
2022-02-11,0.006167961614592141,0.07719170791334602
2022-02-14,-0.0013818349045980295,0.07580987300874799
2022-02-15,-0.010498578170959196,0.06531129483778879
2022-02-16,0.003872678718629102,0.0691839735564179
2022-02-17,-0.003749369245625467,0.06543460431079243
2022-02-18,-0.0009424888608924701,0.06449211544989995
2022-02-21,-0.0017970719150058603,0.0626950435348941
2022-02-22,0.0019353403778157156,0.06463038391270981
2022-02-23,-0.010813555274343528,0.05381682863836628
2022-02-24,-0.0025840290007461903,0.05123279963762009
2022-02-25,-0.003189294980822916,0.04804350465679717
2022-02-28,-0.004626783254324179,0.04341672140247299
2022-03-01,0.0016669468717219593,0.04508366827419495
2022-03-02,0.006064231741856892,0.051147900016051843
2022-03-03,0.011948066561268783,0.06309596657732063
2022-03-04,0.0019871646431715694,0.0650831312204922
2022-03-07,0.007248251325516898,0.0723313825460091
2022-03-08,0.00022021781740782227,0.07255160036341692
2022-03-09,-0.009079391779332825,0.06347220858408409
2022-03-10,-0.0035383723417764003,0.05993383624230769
2022-03-11,0.004297402483674733,0.06423123872598242
2022-03-14,0.008072936458201474,0.0723041751841839
2022-03-15,0.0009039702522411684,0.07320814543642507
2022-03-16,-0.0003163922633514719,0.07289175317307359
2022-03-17,-0.006369977151676978,0.06652177602139661
2022-03-18,0.008013108304207218,0.07453488432560383
2022-03-21,0.0011515728524480677,0.0756864571780519
2022-03-22,0.01099987599628025,0.08668633317433215
2022-03-23,0.0015813210054784006,0.08826765417981056
2022-03-24,-0.0006630433733304723,0.08760461080648009
2022-03-25,0.009527935074666016,0.0971325458811461
2022-03-28,0.0034805522079706225,0.10061309808911673
2022-03-29,-0.004162853171273568,0.09645024491784315
2022-03-30,-0.0021641793002306247,0.09428606561761253
2022-03-31,0.010512788333532273,0.1047988539511448
2022-04-01,0.0050479573084973245,0.10984681125964213
2022-04-06,0.01933236092757727,0.1291791721872194
2022-04-07,0.0017967006129959477,0.13097587280021533
2022-04-08,-0.0031337518169879276,0.1278421209832274
2022-04-11,0.0029919635326958226,0.1308340845159232
2022-04-12,0.008343408318749622,0.13917749283467284
2022-04-13,-0.0020290105191047153,0.13714848231556814
2022-04-14,-0.00646669212900662,0.13068179018656154
2022-04-15,0.0019302000893370978,0.13261199027589862
2022-04-18,-0.0034750540196504223,0.1291369362562482
2022-04-19,0.0002814900478934295,0.12941842630414163
2022-04-20,0.010139818115662474,0.1395582444198041
2022-04-21,-0.0014900724966421279,0.13806817192316198
2022-04-22,0.002897367941916605,0.1409655398650786
2022-04-25,0.0031129074110817097,0.14407844727616032
2022-04-26,-0.0030876659788381636,0.14099078129732215
2022-04-27,-0.005816619752443466,0.13517416154487868
2022-04-28,-0.007662322226245232,0.12751183931863344
2022-04-29,0.0010068588468791022,0.12851869816551253
2022-05-05,0.00034140304936224834,0.1288601012148748
2022-05-06,0.005261019411852313,0.1341211206267271
2022-05-09,0.0061787072614624535,0.14029982788818954
2022-05-10,-0.0034596262281175005,0.13684020166007205
2022-05-11,-0.00708910432799089,0.12975109733208115
2022-05-12,0.0054302432499851346,0.1351813405820663
2022-05-13,0.0027787839481812895,0.13796012453024759
2022-05-16,0.002367656881968427,0.14032778141221602
2022-05-17,-0.004496974692603387,0.13583080671961265
2022-05-18,0.0014262963878814052,0.13725710310749406
2022-05-19,-0.0018030104122143875,0.13545409269527967
2022-05-20,-0.003079230895648984,0.13237486179963068
2022-05-23,0.005098349526246238,0.13747321132587692
2022-05-24,0.003667449291820254,0.14114066061769717
2022-05-25,0.004504327292291687,0.14564498790998887
2022-05-26,0.0034167663975742803,0.14906175430756313
2022-05-27,-7.822716084862348e-05,0.1489835271467145
2022-05-30,0.004275498899722977,0.15325902604643749
2022-05-31,-0.0012804930482740236,0.15197853299816347
2022-06-01,0.004406355322156386,0.15638488832031985
2022-06-02,-0.005180866413616223,0.15120402190670362
2022-06-06,-0.010356969726414762,0.14084705218028887
2022-06-07,4.126133214584437e-05,0.14088831351243472
2022-06-08,0.0014037404125154666,0.14229205392495017
2022-06-09,0.013890544854300762,0.15618259877925095
2022-06-10,0.0018282878364580012,0.15801088661570895
2022-06-13,-0.011335726004307246,0.1466751606114017
2022-06-14,0.008489217732936214,0.1551643783443379
2022-06-15,0.010619330605475315,0.16578370894981323
2022-06-16,-0.007690889295334003,0.15809281965447922
