date,cumulative_excess_return
2022-01-04,0.01296720542191232
2022-01-05,0.028482443607800167
2022-01-06,0.03199765287077727
2022-01-07,0.04778396253430328
2022-01-10,0.05099533448219651
2022-01-11,0.058193915933051565
2022-01-12,0.049663285453153794
2022-01-13,0.06134937371702098
2022-01-14,0.04959111327372434
2022-01-17,0.043011057410251574
2022-01-18,0.04602149878741946
2022-01-19,0.054605279149453345
2022-01-20,0.06477566805534773
2022-01-21,0.07050969412409547
2022-01-24,0.05982053698779821
2022-01-25,0.06388748787324872
2022-01-26,0.06358551458791228
2022-01-27,0.07446293469603171
2022-01-28,0.08270068704493894
2022-02-07,0.09050827536094097
2022-02-08,0.1095085275394474
2022-02-09,0.10099211074088266
2022-02-10,0.10942481059859821
2022-02-11,0.11990376652873813
2022-02-14,0.11746724495700378
2022-02-15,0.10044994512650662
2022-02-16,0.10478589284603768
2022-02-17,0.10071629001673554
2022-02-18,0.10344146631519258
2022-02-21,0.09869205190022812
2022-02-22,0.10120458123187537
2022-02-23,0.08506003671899354
2022-02-24,0.0824615241319584
2022-02-25,0.08031025549091986
2022-02-28,0.07946063565024386
2022-03-01,0.07949746025045679
2022-03-02,0.08848790817674845
2022-03-03,0.10495162190836282
2022-03-04,0.10473512715867206
2022-03-07,0.11603645527225748
2022-03-08,0.1243114860798511
2022-03-09,0.1146615287060555
2022-03-10,0.10673333126143048
2022-03-11,0.10998608597050952
2022-03-14,0.1164015467661077
2022-03-15,0.11848095092852362
2022-03-16,0.11687020627847233
2022-03-17,0.11265065675232333
2022-03-18,0.11354678999422063
2022-03-21,0.11025054903630682
2022-03-22,0.11232689062441104
2022-03-23,0.11174952349877443
2022-03-24,0.1069955987237381
2022-03-25,0.11970271081057438
2022-03-28,0.12603654511037
2022-03-29,0.12218524787694363
2022-03-30,0.1223277023908409
2022-03-31,0.13747298624583038
2022-04-01,0.1454348460473014
2022-04-06,0.15950384666185125
2022-04-07,0.1606845385420883
2022-04-08,0.16253391276406104
2022-04-11,0.17354238662031118
2022-04-12,0.17721681517793342
2022-04-13,0.17704344582009757
2022-04-14,0.16728053404853038
2022-04-15,0.17133087904139677
2022-04-18,0.17335934345684945
2022-04-19,0.17456105993958348
2022-04-20,0.18556284297449266
2022-04-21,0.18737187754814744
2022-04-22,0.19223883366384387
2022-04-25,0.19714862795582166
2022-04-26,0.2056692911916096
2022-04-27,0.20730265306480145
2022-04-28,0.19195982367611486
2022-04-29,0.197759912781857
2022-05-05,0.1992368916457179
2022-05-06,0.20663472877342648
2022-05-09,0.20588919014196594
2022-05-10,0.20368115984345136
2022-05-11,0.2004282357217968
2022-05-12,0.2075275062910078
2022-05-13,0.2053646468902579
2022-05-16,0.20338390441117737
2022-05-17,0.19859746066560668
2022-05-18,0.20370934311390942
2022-05-19,0.20206453343512165
2022-05-20,0.20281724113016608
2022-05-23,0.20813313899816888
2022-05-24,0.21516513969382878
2022-05-25,0.22360725039341278
2022-05-26,0.22915659658595433
2022-05-27,0.2312222989164463
2022-05-30,0.2348740783234744
2022-05-31,0.23413259719994395
2022-06-01,0.2361545831535954
2022-06-02,0.23358226055127762
2022-06-06,0.22385554401950936
2022-06-07,0.2263418577109766
2022-06-08,0.22579051237719638
2022-06-09,0.23488905198952326
2022-06-10,0.23068026059840907
2022-06-13,0.22225804297255758
2022-06-14,0.23073665684913536
2022-06-15,0.24201466641771718
2022-06-16,0.23420502457837467
2022-06-17,0.2233229125624634
2022-06-20,0.22093270119172814
2022-06-21,0.2306884777055438
2022-06-22,0.2327542491490322
2022-06-23,0.22646169594524368
2022-06-24,0.22046980873491617
2022-06-27,0.2180838301826149
2022-06-28,0.21762883717021952
2022-06-29,0.2289152382643007
2022-06-30,0.21968549003805715
2022-07-01,0.22217591241509416
2022-07-04,0.21143486177097937
2022-07-05,0.2083682747055442
2022-07-06,0.21251687334385405
2022-07-07,0.20685015266647655
2022-07-08,0.218960059065318
2022-07-11,0.23182133949039185
2022-07-12,0.23929085513172677
2022-07-13,0.23924919015658674
2022-07-14,0.23250454177986302
2022-07-15,0.23142223909401505
2022-07-18,0.22882133896425438
2022-07-19,0.23495224180224827
2022-07-20,0.23376716187180047
2022-07-21,0.23943698619156706
2022-07-22,0.2464102397427954
2022-07-25,0.25221854311784364
2022-07-26,0.24763381194160972
2022-07-27,0.24154102423926327
2022-07-28,0.24365078166871723
2022-07-29,0.246083819726711
2022-08-01,0.23200442229327756
2022-08-02,0.2315303588909925
2022-08-03,0.2307496151269237
2022-08-04,0.23024185603545955
2022-08-05,0.22913845531958876
2022-08-08,0.21937205630010914
2022-08-09,0.21364195009142106
2022-08-10,0.216236991677343
2022-08-11,0.22482800266680236
2022-08-12,0.2343404514539047
2022-08-15,0.22529801140998384
2022-08-16,0.2227876524560788
2022-08-17,0.22260124067422304
2022-08-18,0.21460134270473175
2022-08-19,0.22963695196137368
2022-08-22,0.22216586544578032
2022-08-23,0.22610804306392307
2022-08-24,0.24385820646110523
2022-08-25,0.2484768066682863
2022-08-26,0.2512348358004839
2022-08-29,0.25420292182740845
2022-08-30,0.2661983124416458
2022-08-31,0.27916578121420077
2022-09-01,0.2833950462200481
2022-09-02,0.2823462385119093
2022-09-05,0.2833743014791825
2022-09-06,0.27886652169875825
2022-09-07,0.2745796545320016
2022-09-08,0.2801742267792706
2022-09-09,0.27799424063936806
2022-09-13,0.27871093669655833
2022-09-14,0.27987326779786614
2022-09-15,0.29731622373450484
2022-09-16,0.29392577100260064
2022-09-19,0.2947322179404315
2022-09-20,0.2911568466154859
