date,cumulative_excess_return,alpha158,alpha360
2022-01-04,0.0129672054219123,0.0006712675094604492,0.0006712675094604492
2022-01-05,0.0284824436078001,0.012335286436760962,0.013733000009928942
2022-01-06,0.0319976528707772,0.013040726002419678,0.01297557540100458
2022-01-07,0.0477839625343032,0.019547826885481623,0.018682435565575695
2022-01-10,0.0509953344821965,0.024313863252349854,0.01932899758502571
2022-01-11,0.0581939159330515,0.024973136973775345,0.024294146540144057
2022-01-12,0.0496632854531537,0.020611149058004097,0.018070949514067625
2022-01-13,0.0613493737170209,0.027548942441401048,0.02441904507244419
2022-01-14,0.0495911132737243,0.01865094841367476,0.016024306712273617
2022-01-17,0.0430110574102515,0.018781389866440845,0.015334143858942939
2022-01-18,0.0460214987874194,0.020710425820557044,0.013049547196366529
2022-01-19,0.0546052791494533,0.024448379011782873,0.015670443086749142
2022-01-20,0.0647756680553477,0.027568800687751693,0.022461113288517964
2022-01-21,0.0705096941240954,0.02825959027121261,0.025958665914864287
2022-01-24,0.0598205369877982,0.019853104216552397,0.01864803637569956
2022-01-25,0.0638874878732487,0.02046652039894914,0.019769635342063774
2022-01-26,0.0635855145879122,0.021760499589819515,0.0221092519794992
2022-01-27,0.0744629346960317,0.023158065819825158,0.024369800066510017
2022-01-28,0.0827006870449389,0.0273275557313033,0.03213774194141372
2022-02-07,0.0905082753609409,0.03554534801935616,0.03647113294009263
2022-02-08,0.1095085275394474,0.042860848768055515,0.046113676137563564
2022-02-09,0.1009921107408826,0.037313027031776747,0.038836094988944136
2022-02-10,0.1094248105985982,0.04440582502613655,0.04216549519210511
2022-02-11,0.1199037665287381,0.04990292294778231,0.04954517205740849
2022-02-14,0.1174672449570037,0.05158878422417046,0.04941318763835589
2022-02-15,0.1004499451265066,0.04383498603093838,0.039759128864640614
2022-02-16,0.1047858928460376,0.04589495229403018,0.044848439858638844
2022-02-17,0.1007162900167355,0.03892533699941536,0.040127281496246114
2022-02-18,0.1034414663151925,0.03848051169601008,0.03598929280043284
2022-02-21,0.0986920519002281,0.040233261050337754,0.037144836908090895
2022-02-22,0.1012045812318753,0.03867899191906932,0.03849699873564538
2022-02-23,0.0850600367189935,0.03199118464353545,0.03296853532191668
2022-02-24,0.0824615241319584,0.02643720120528248,0.027837778536170754
2022-02-25,0.0803102554909198,0.024160397526836963,0.0240969431300313
2022-02-28,0.0794606356502438,0.01669490667381912,0.019857575130635352
2022-03-01,0.0794974602504567,0.017851888228644475,0.019063623335248137
2022-03-02,0.0884879081767484,0.02231072532517886,0.02902832585741333
2022-03-03,0.1049516219083628,0.031360284553155315,0.03964486615005813
2022-03-04,0.104735127158672,0.0329185148487392,0.04709591990056894
2022-03-07,0.1160364552722574,0.03570643363948589,0.051601312048042525
2022-03-08,0.1243114860798511,0.03575792703193148,0.057732248065213154
2022-03-09,0.1146615287060555,0.025581293672601424,0.04839674683812012
2022-03-10,0.1067333312614304,0.024451772760209822,0.0460112182242125
2022-03-11,0.1099860859705095,0.026991906834228363,0.05143256068053481
2022-03-14,0.1164015467661077,0.03283144098864077,0.05758380321628187
2022-03-15,0.1184809509285236,0.034114465645346925,0.05944548022108864
2022-03-16,0.1168702062784723,0.03365447068879246,0.05610996280300551
2022-03-17,0.1126506567523233,0.02648747703448673,0.05635578302068778
2022-03-18,0.1135467899942206,0.030032178333026405,0.05787147225449685
2022-03-21,0.1102505490363068,0.027214224638512086,0.057784092710718715
2022-03-22,0.112326890624411,0.030435175814359727,0.06217302610841213
2022-03-23,0.1117495234987744,0.025472214606750976,0.06121144884334018
2022-03-24,0.1069955987237381,0.0214686884884443,0.05356305937964079
2022-03-25,0.1197027108105743,0.03193160293981201,0.06224689457299837
2022-03-28,0.12603654511037,0.03496909257967418,0.06650985415642108
2022-03-29,0.1221852478769436,0.03107898771101536,0.05948811566293788
2022-03-30,0.1223277023908409,0.025077760554449657,0.05813980843485056
2022-03-31,0.1374729862458303,0.033233989771247474,0.0637178314096456
2022-04-01,0.1454348460473014,0.033540923937465106,0.061377301150170815
2022-04-06,0.1595038466618512,0.049217018540562485,0.07410356857075895
2022-04-07,0.1606845385420883,0.04923223602215554,0.07191771365904942
2022-04-08,0.162533912764061,0.04365953601147288,0.0677769226464866
2022-04-11,0.1735423866203111,0.045754699749243066,0.07160715807416573
2022-04-12,0.1772168151779334,0.05177555375293563,0.07537746281762403
2022-04-13,0.1770434458200975,0.049631631631702255,0.0791154602894808
2022-04-14,0.1672805340485303,0.04509604359332253,0.07533510763653783
2022-04-15,0.1713308790413967,0.04732139014629255,0.07929641927031761
2022-04-18,0.1733593434568494,0.047730033397776594,0.07879771568060878
2022-04-19,0.1745610599395834,0.04658413873248879,0.07874931594675338
2022-04-20,0.1855628429744926,0.05159466927014145,0.08580790840093355
2022-04-21,0.1873718775481474,0.04915740451823658,0.08574640238838893
2022-04-22,0.1922388336638438,0.05553850794976123,0.08498617972182743
2022-04-25,0.1971486279558216,0.05615912811808044,0.07488406362247213
2022-04-26,0.2056692911916096,0.055283531666870056,0.07589306347074287
2022-04-27,0.2073026530648014,0.05513883995104352,0.08244548194819479
2022-04-28,0.1919598236761148,0.048828165441459515,0.06629939756971703
2022-04-29,0.197759912781857,0.04638149277072334,0.06744261323749501
2022-05-05,0.1992368916457179,0.03967739764719003,0.06228437929435726
2022-05-06,0.2066347287734264,0.03877179288095034,0.06398786600822093
2022-05-09,0.2058891901419659,0.0448619844214424,0.06673000318069255
2022-05-10,0.2036811598434513,0.04520818326877585,0.06757375646330543
