factor_name,annual_ic,annual_rank_ic,ic_ir,rank_ic_ir
Exhaustion_Intensity_Index_10D,0.01585089339398784,0.03231159073645001,0.08281145348739678,0.14691784421122553
Climax_Exhaustion_Intensity,0.01603691732113973,0.02418541531942848,0.07435973730212651,0.09756325698589718
Relative_Climax_Reversal_Index,0.009124090500377827,0.012737523603864905,0.0413612257215613,0.05137860388714781
Exhaustion_Volume_Instability_Index,0.011660477319389942,0.012097520485049999,0.05416645906887332,0.050193873707490566
Relative_Range_Efficiency_Climax,-0.000964155267180009,0.012079142699130779,-0.007215952727662438,0.0804563033807856
Relative_Volatility_Force_Index,0.01707444537972886,0.011657947713086729,0.08877616148987026,0.05365794444717437
Ranked_Trend_Exhaustion_Factor,0.013697778150891581,0.01160065002936454,0.07026654261125645,0.05457497770740695
Asymmetric_Liquidity_Climax_V1,0.01608399377096434,0.010376652504875116,0.08022622052403622,0.04703553691961245
Stability_Adjusted_Reversal_V2,-0.0007722270026790558,0.009927248237048025,-0.005013973703538493,0.06036119741338152
Volatility_Adjusted_Exhaustion_V1,0.015677497264821982,0.009837952613765412,0.08297718251027186,0.0461986013470454
Climax_Capitulation_Signal,0.01882049185616921,0.009374416870568877,0.14156752339029485,0.07668346756996033
Volume_Weighted_Distance_Reversal,0.018532425017403827,0.009016914762664868,0.09145954138262474,0.041383347343538865
Liquidity_Uncertainty_Reversal_Factor,0.014953228517567594,0.008181152904321781,0.07752980985749798,0.039402166608447295
ESI_Conditional_Reversion_10D_60D,-0.00034148622346850027,0.008179550723243416,-0.003649980146340264,0.07727165254176255
Smoothed_Climax_Stability_Index,0.016436881940661018,0.007901722163646974,0.08143053686302974,0.03660575634420757
NL_LWR_V3_ZScore_Exhaustion,0.0031439458358944825,0.007785570595734334,0.027857224493927895,0.05385833371333114
Volatility_Climax_Exhaustion_V1,0.01802889355645462,0.007695696648339972,0.11689757762286064,0.04030719079215659
Exhaustion_Conditional_Reversal,0.003162552469165261,0.006843458866251783,0.02624979908208115,0.06246792432211186
Stability_Weighted_Climax_Reversal_V1,0.011279622312510167,0.0061920700283089455,0.056574840937929784,0.02876813037768961
Exhaustion_DryUp_Rank_Score,-0.00594768022166493,0.005055126755132835,-0.049273035806573,0.037354514730473035
Accelerated_Liquidity_Exhaustion_V1,0.00849826236854046,0.005051791389425064,0.045768210845478816,0.02434954748731387
Ranked_Stability_Climax_Factor,0.008353151279920507,0.005022132302612156,0.043879534570100166,0.024137754047943615
Accumulation_Exhaustion_Index_20D,0.005122257040669622,0.004713929679232612,0.04426417915466902,0.036438455828074694
NL_LWR_V2_Regime_Filtered,-0.007125698765783781,0.004552171833808004,-0.05216671546204486,0.0283962088566749
NL_LWR_V1_Squared_Stability,-0.007587288038424968,0.004385997338134447,-0.05490179137820336,0.02702818173008781
LVR_Exhaustion_Pivot_10D,-0.000234978450243589,0.003367053743763488,-0.0018732119502009043,0.024823376612187326
ASVC_Volatility_Decoupling_Factor,0.010485416531001313,0.003224292773476479,0.08516771695985072,0.025303274954514475
Liquidity_Adjusted_ZScore_Reversal,0.010142513128430447,0.0030555364866938985,0.05376522607341394,0.014899326846992971
Relative_Liquidity_Deviation_Factor,0.009923960045048757,0.0028198558486518203,0.05373671477640841,0.013852410544987804
Bounded_Climax_Exhaustion_Factor,0.010056214268130555,0.002531051692763576,0.057362633704418915,0.013779447350081965
Dynamic_Range_Climax_Sigmoid_20D,0.009933120047814353,0.0023456466371954855,0.05538907106943519,0.012556122011575958
Log_Climax_Reversal_Intensity,0.009810332602311348,0.001949074215415354,0.05464149221077019,0.010478241533613236
ATR_Volume_Exhaustion_Intensity_5D,0.003148902542728159,0.0018716321857612233,0.027065537489321088,0.01398742005954813
SWCC_Sigmoid_Exhaustion_10D,-0.008135304312647597,0.0011206328140877598,-0.06894503184034573,0.007047639870790299
Mean_Reversion_Distance_ZScore_20D,0.012041465496573102,0.0009379567494462173,0.07851294944695417,0.006663121207443189
VWRR_ATR_Exhaustion_5D,-0.0039047953522635534,0.0006363123057458613,-0.026053319893167795,0.004156736029346418
Relative_Liquidity_Decay_Reversal,0.000937889366384268,0.0005286809788379394,0.007718839547595423,0.0028234656588859647
Quiet_Reversal_Exhaustion_V1,-0.003738029355496666,4.798285294622801e-05,-0.03250112601999572,0.0003685309106155199
NLCC_Convex_Exhaustion_Factor,-0.005997114861536406,-0.0002848897328992416,-0.05222399180545963,-0.001962653008453004
VAME_Bollinger_Extension_20D,-0.0034835648738137767,-0.0003486483500592512,-0.026598189263657424,-0.0023572780154987043
VAME_Bottom_Fishing_20D,-0.0034835648738137767,-0.0003486483500592512,-0.026598189263657424,-0.0023572780154987043
VAME_ZScore_Rejection_10D,-0.003600739470634691,-0.0003486747680646084,-0.028433861619695123,-0.0024409451233906644
Composite_Reversal_Liquidity_Factor,0.0002877752543423142,-0.0010635817539526725,0.0041522966834248365,-0.008555837077673578
SLAR_v1_Continuous,0.0014589323793396379,-0.0014095044638980081,0.015524529535615679,-0.01322579171524472
NLCC_Tail_Confluence_Index,-0.009166537492093957,-0.0014491083563545916,-0.07273641287357438,-0.008781110134088907
Accumulation_Quality_Index,-0.007018926170414792,-0.0020972134241429344,-0.06799843000485432,-0.019790618143520816
ATR_Residual_Range_Expansion_10D,-0.007623007937922825,-0.0023044879118205366,-0.04741991739166251,-0.013081777918751133
SLAR_v2_Sigmoid_Regime,-0.003944387578175586,-0.002563372341817565,-0.037284156983300586,-0.024234006175505366
SWCC_Volume_Adjusted_Sigmoid_20D,-0.0013139534471667742,-0.003620951572034828,-0.010757745521647889,-0.0242208223699729
Liquidity_Stabilized_Reversal_Factor,-0.01208106636019507,-0.004480233519926387,-0.06872609738450679,-0.026168842898522577
Composite_Reversal_Liquidity_Factor,-0.0018504935994149189,-0.004645316965847163,-0.02983531213398519,-0.04919803970141023
Normalized_Reversal_Strength_Index,-0.0011535697641408247,-0.005411988774073371,-0.012811183595652231,-0.05097581748428861
