factor_name,annual_ic,annual_rank_ic,ic_ir,rank_ic_ir
GapZ10_Overnight_vs_TR,0.03349399279245331,0.0793414093652278,0.1776478757451503,0.38909726577380416
Gap_IntradayAcceptanceScore_20D,0.033008724945789866,0.07439749390424895,0.1866589600189812,0.3923199086293405
Gap_IntradayAcceptance_VolWeighted_20D,0.03140578255940087,0.06057403802245834,0.20062454714003752,0.3468171605323116
CleanTrend_Continuation_Score_RS10_KLEN10_WVMA5,0.026687450070360927,0.059027589038066736,0.14753338129855575,0.3342011413834927
OrderlyTrend_x_Absorption_10D_5D_20D,0.027067990465230847,0.04649029699095331,0.16888837676260882,0.27019286351095817
Liquidity_Rerating_DlvUp_IlliqDown_RangeVol_20_60,0.02971995871727015,0.04577440460877189,0.17636529442270155,0.24928959952055257
Mom120_RangeStdRatio_SignedCLV_5,0.030542526160322468,0.04382496693748156,0.15547967843595173,0.2097478830034002
DonchianWidthCompress20_HighBreak55_VolumeRatio20,0.02387365325204244,0.04239568214643932,0.15563459131189195,0.2606335119492658
Stealth_Accum_VolSurprise60_IlliqDown20_VolStd20_Pen20,0.028346434004622487,0.04151361060223091,0.18659844640217407,0.2494698520434218
VolSqueeze_ReturnStd20_BreakoutClose55_VolZ20_RangePos1,0.023833727477703515,0.040891931249775616,0.1454602169316603,0.24099144797057123
TrendSqueeze_CLVRank_120_20_5,0.01811657483403937,0.03615561872442765,0.10881321019046761,0.1840144331814632
BollingerSqueeze20_TSRankClose55_LogVolZ20,0.024360211134202905,0.03529119803622683,0.14252274467662557,0.18437041999854
Trend_Squeeze_Pressure_Composite_120D_20D,0.02246415505705461,0.033344906543509446,0.10443419031249548,0.14772197429941716
Exhaustion_Intensity_Index_10D,0.01585089339398784,0.03231159073645001,0.08281145348739678,0.14691784421122553
Uptrend_Squeeze_CLV_Composite_120_20_10,0.020962118321309328,0.03197946027422746,0.10501750875353293,0.15081467970781035
Absorption_MomRev_Blend_60_20,0.023258734510326166,0.029384613652558452,0.1274786873595494,0.18208255037200036
CLV5_BreakoutProx20_ZScore_Sum,0.02103473921724977,0.027913956284717018,0.11417674852784272,0.14006545660267142
Liquidity_Rerating_Score_20_60_20D,0.014354452471060833,0.026796148158768372,0.09062766662828056,0.15969642299782702
TwoAxis_RegimeScore_Blend_60_20_Compact,0.019299663918940085,0.02646592372092275,0.11994599278758736,0.1770851691254113
Capitulation_Gated_Reversal_60D_20D,0.010093319745904826,0.025292249431227435,0.09429511554843996,0.24208754323033324
