date,daily_excess_return,cumulative_excess_return
2022-01-03,-0.0006847590293094512,-0.0006847590293094512
2022-01-04,0.021166701071121685,0.020481942041812234
2022-01-05,-0.0071352800042703834,0.01334666203754185
2022-01-06,0.00796516645552847,0.02131182849307032
2022-01-07,-0.010135758460992768,0.01117607003207755
2022-01-10,-0.003779452056059743,0.007396617976017808
2022-01-11,0.008080145669343251,0.015476763645361059
2022-01-12,-0.0004389206863957075,0.01503784295896535
2022-01-13,0.00427911191492103,0.01931695487388638
2022-01-14,-0.004223870353919947,0.015093084519966434
2022-01-18,0.0007431012309824034,0.015836185750948837
2022-01-19,-0.005766726486876907,0.01006945926407193
2022-01-20,-0.007096999095864777,0.0029724601682071536
2022-01-21,0.0018729986863853794,0.0048454588545925326
2022-01-24,0.0077160732914433525,0.012561532146035885
2022-01-25,0.008054797895856705,0.02061633004189259
2022-01-26,-0.005965435750247432,0.014650894291645157
2022-01-27,0.0008599242861218522,0.015510818577767009
2022-01-28,0.0007905168043984232,0.01630133538216543
2022-01-31,0.0019956521380816495,0.018296987520247082
2022-02-01,0.0020090188381683815,0.020306006358415465
2022-02-02,0.005561949357860302,0.025867955716275766
2022-02-03,0.0015687821629599193,0.027436737879235687
2022-02-04,-0.002242646206154076,0.02519409167308161
2022-02-07,0.006584809924140024,0.03177890159722163
2022-02-08,0.002420458772998479,0.03419936037022011
2022-02-09,0.010779663759211364,0.04497902412943147
2022-02-10,0.006328640692660238,0.05130766482209171
2022-02-11,0.00766858546654563,0.05897625028863734
2022-02-14,-0.008614793541442206,0.05036145674719513
2022-02-15,0.0026473217258066364,0.05300877847300177
2022-02-16,0.005537493101560922,0.05854627157456269
2022-02-17,0.00307244714629142,0.061618718720854115
2022-02-18,0.002264962321557941,0.06388368104241206
2022-02-22,-0.011000973775705818,0.05288270726670624
2022-02-23,0.007166445770978931,0.060049153037685175
2022-02-24,0.005621813613569509,0.06567096665125469
2022-02-25,0.010509711223370475,0.07618067787462517
2022-02-28,0.009906623594507181,0.08608730146913235
2022-03-01,0.0007651831425200808,0.08685248461165243
2022-03-02,0.015886139406457812,0.10273862401811024
2022-03-03,0.007471596958936304,0.11021022097704654
2022-03-04,0.014876565432478195,0.12508678640952473
2022-03-07,0.006629380051039538,0.13171616646056428
2022-03-08,0.00913116953147717,0.14084733599204144
2022-03-09,0.00043702256696950457,0.14128435855901095
2022-03-10,0.00881825371043327,0.1501026122694442
2022-03-11,-0.00566511051231383,0.14443750175713038
2022-03-14,0.004082371740044842,0.14851987349717521
2022-03-15,-0.004763389267224783,0.14375648422995044
2022-03-16,0.011241713929609366,0.1549981981595598
2022-03-17,0.01234853839127942,0.16734673655083923
2022-03-18,0.00471959608110878,0.172066332631948
2022-03-21,0.0046926862264532075,0.17675901885840123
2022-03-22,0.0005941012205886755,0.1773531200789899
2022-03-23,0.0036104372691551714,0.18096355734814507
2022-03-24,-3.899365022983555e-05,0.18092456369791524
2022-03-25,0.008345796747133068,0.1892703604450483
2022-03-28,-0.016924208944418324,0.17234615150062998
2022-03-29,0.00651246015699647,0.17885861165762645
2022-03-30,-0.007638163653098098,0.17122044800452835
2022-03-31,0.0009862910640212055,0.17220673906854955
2022-04-01,0.0018756040347044309,0.174082343103254
2022-04-04,-0.0039229527088128855,0.1701593903944411
2022-04-05,-0.007606397124364336,0.16255299327007677
2022-04-06,0.001476333351733203,0.16402932662180997
2022-04-07,0.0013361098869567926,0.16536543650876676
2022-04-08,0.015918049499464924,0.1812834860082317
2022-04-11,0.007115356835556341,0.18839884284378802
2022-04-12,0.010900816239026513,0.19929965908281452
2022-04-13,0.010023207972911497,0.20932286705572603
2022-04-14,0.008815453284687717,0.21813832034041375
2022-04-15,0.0,0.21813832034041375
2022-04-18,0.00541665061994576,0.2235549709603595
2022-04-19,0.005841423181025464,0.22939639414138496
2022-04-20,0.004530944924183904,0.23392733906556887
2022-04-21,-0.017079446218364824,0.21684789284720404
2022-04-22,-0.005425156405411303,0.21142273644179274
2022-04-25,-0.007786956753624962,0.2036357796881678
2022-04-26,0.002935384162936201,0.206571163851104
2022-04-27,0.007024795929741502,0.2135959597808455
2022-04-28,0.0012957696006767546,0.21489172938152226
2022-04-29,0.0022968907945106233,0.21718862017603288
2022-05-02,-0.0026341432615208404,0.21455447691451204
2022-05-03,0.02145178266274008,0.23600625957725213
2022-05-04,0.007314204166453498,0.24332046374370564
2022-05-05,0.004095909029420976,0.2474163727731266
2022-05-06,0.013339436622805576,0.2607558093959322
2022-05-09,-0.04389690510759759,0.2168589042883346
2022-05-10,0.0059230098222350135,0.2227819141105696
2022-05-11,0.00830252587755858,0.2310844399881282
2022-05-12,0.01313300697453191,0.2442174469626601
2022-05-13,0.024556980349201285,0.2687744273118614
2022-05-16,0.006046421273759068,0.2748208485856205
2022-05-17,0.0034652319184513072,0.27828608050407183
2022-05-18,-0.0019361651079394563,0.27634991539613235
2022-05-19,0.00635216302251525,0.2827020784186476
2022-05-20,-0.0038923083940665755,0.278809770024581
2022-05-23,0.009776721613358224,0.28858649163793926
2022-05-24,-0.002010787381697315,0.28657570425624196
2022-05-25,0.020830414444003863,0.3074061187002458
2022-05-26,0.01665119821798406,0.32405731691822987
2022-05-27,0.004136746360571736,0.32819406327880163
2022-05-31,-0.008215497324315337,0.3199785659544863
2022-06-01,0.0028478570925753936,0.3228264230470617
2022-06-02,0.00048180671516869465,0.3233082297622304
2022-06-03,0.01041246273979773,0.3337206925020281
2022-06-06,0.0015510929467846832,0.3352717854488128
