date,excess_return
2022-01-03,-0.0004673251536652448
2022-01-04,0.02400008064785319
2022-01-05,0.002399175396647326
2022-01-06,0.01479852388053306
2022-01-07,0.004715035342618868
2022-01-10,-0.002145202184097124
2022-01-11,0.006720152403159853
2022-01-12,0.001493455989772401
2022-01-13,0.010737491998072946
2022-01-14,-0.004368321775302297
2022-01-18,0.0004535687875764347
2022-01-19,-0.003791852625543979
2022-01-20,-0.011066957609406182
2022-01-21,0.0022226307977872943
2022-01-24,0.02486564810109316
2022-01-25,-0.0036060701067531947
2022-01-26,-0.0070803815714161914
2022-01-27,-0.008514572457515147
2022-01-28,0.0019747976797844496
2022-01-31,0.020334777689540246
2022-02-01,0.008614888860509397
2022-02-02,0.005663008113976491
2022-02-03,0.00262829859235246
2022-02-04,-0.0045526139272382025
2022-02-07,0.005273346342599731
2022-02-08,0.010192763213755809
2022-02-09,0.01616915515543691
2022-02-10,-0.004247912572411091
2022-02-11,-0.00011941751201082794
2022-02-14,-0.008172129416632356
2022-02-15,0.01661688646033938
2022-02-16,0.002290189855937394
2022-02-17,-0.0037538198466084746
2022-02-18,0.00020597786924085853
2022-02-22,-0.00711578714353183
2022-02-23,0.0006544087362361211
2022-02-24,0.012181452149079756
2022-02-25,0.0012711155709806295
2022-02-28,0.007180925423276993
2022-03-01,-0.014783077149751037
2022-03-02,0.015005368338575248
2022-03-03,-8.00342423855273e-05
2022-03-04,-0.0026847094242669453
2022-03-07,-0.0024148885052436724
2022-03-08,0.026900309093129095
2022-03-09,0.008600801252183111
2022-03-10,0.0014498868415340276
2022-03-11,0.0020132168946376304
2022-03-14,0.00863104059854917
2022-03-15,0.00606418777556395
2022-03-16,0.029631737392770453
2022-03-17,-0.0020524699508884105
2022-03-18,0.001488668448207967
2022-03-21,-0.007767391622566706
2022-03-22,0.004803067494385007
2022-03-23,-0.007683796200522007
2022-03-24,0.001984561110198291
2022-03-25,0.0014982482608411787
2022-03-28,-0.00743677008467844
2022-03-29,0.013897665422948178
2022-03-30,-0.015430197173109048
2022-03-31,-0.0017764316475274244
2022-04-01,-0.0004097439468573493
2022-04-04,-0.002367394725384505
2022-04-05,-0.006803707129191073
2022-04-06,-0.0024879600293602603
2022-04-07,-0.001561788546944333
2022-04-08,0.013516943299007145
2022-04-11,0.007636127350554724
2022-04-12,0.0072219522093024706
2022-04-13,0.004827301060294915
2022-04-14,0.00661986186214996
2022-04-15,0.0
2022-04-18,0.005249451865636264
2022-04-19,-0.00020044647143128996
2022-04-20,0.011305094859479187
2022-04-21,-0.009756015848163328
2022-04-22,-0.0062416532321406485
2022-04-25,-0.008730427140122534
2022-04-26,0.007844838438433597
2022-04-27,0.0003429651738085016
2022-04-28,-0.001052735156922818
2022-04-29,0.012216590859584535
2022-05-02,0.007892199834569626
2022-05-03,0.02428532745979096
2022-05-04,0.006919918642339758
2022-05-05,-0.00939730158518514
2022-05-06,0.011844503456106244
2022-05-09,-0.0447512964966428
2022-05-10,-0.0013624135370109832
2022-05-11,0.0048388386694207105
2022-05-12,0.009366847855136565
2022-05-13,0.028325606820441
2022-05-16,0.00457933463037152
2022-05-17,0.010870501503458089
2022-05-18,-0.0013808932723022042
2022-05-19,0.012004653715225277
2022-05-20,0.0011541535764371179
2022-05-23,0.009927202611422553
2022-05-24,-0.008038528455992002
2022-05-25,0.024072952877048828
2022-05-26,0.02012690980760511
2022-05-27,0.0047003627791616775
2022-05-31,-0.004446639901410465
2022-06-01,0.0033712657820192445
2022-06-02,0.000646620161096506
2022-06-03,0.006635113336414947
2022-06-06,0.003109260501040371
2022-06-07,0.0062970205745330205
2022-06-08,-0.004621768017550263
2022-06-09,-0.007202933054671956
2022-06-10,0.0017894433369850219
2022-06-13,-0.018391017086592833
2022-06-14,-0.0048890336899164695
2022-06-15,0.0004817334217127864
2022-06-16,-0.018750479727585232
2022-06-17,0.009478778203336166
2022-06-21,-0.006248249161368213
2022-06-22,-0.004345944748388281
2022-06-23,-0.016040928054955144
2022-06-24,0.008193782505918077
2022-06-27,0.00994828069132454
2022-06-28,0.015516003252244582
2022-06-29,-0.015669022178052078
2022-06-30,-0.002362771919818802
2022-07-01,0.0045280606662584655
2022-07-05,-0.007468404317133223
2022-07-06,-0.012169807863499577
2022-07-07,0.020558210749003245
2022-07-08,-0.0011818376616850854
2022-07-11,-0.008541276065030296
2022-07-12,0.008246582149182606
2022-07-13,0.0035610175924253498
2022-07-14,-0.016308652095859456
2022-07-15,0.007529331071014727
2022-07-18,0.025312316054588876
2022-07-19,0.021224951015099414
2022-07-20,0.012998285108254315
2022-07-21,-0.009858277729364259
2022-07-22,-0.00598003076701893
2022-07-25,0.018427705706855618
2022-07-26,-0.003988633678392218
2022-07-27,0.011482187423270713
2022-07-28,0.001370710837080924
2022-07-29,0.010524006144904455
2022-08-01,-0.004755909140025253
2022-08-02,0.011747055343073593
2022-08-03,-0.003628362533660146
2022-08-04,-0.01685664353160559
2022-08-05,0.006853838138636244
2022-08-08,0.013774279176831616
2022-08-09,0.0031650552493343925
2022-08-10,0.00713087154702732
2022-08-11,0.013371048577159086
2022-08-12,-0.0017916164777390781
2022-08-15,-0.01154291145100262
2022-08-16,0.003321556385484867
2022-08-17,-0.0003932150092787577
2022-08-18,0.006213359267359865
2022-08-19,-0.0001620401533813319
2022-08-22,0.005736829672530519
2022-08-23,0.0069995507347853595
2022-08-24,0.00217527823207481
2022-08-25,0.002396454895523725
2022-08-26,-0.004028223225197806
2022-08-29,-0.0007334830927099483
2022-08-30,-0.003520229087418851
