date,excess_return
2022-01-03,-0.0037311315536499023
2022-01-04,0.0036673046756409105
2022-01-05,-0.00314643583651513
2022-01-06,0.005438018088241487
2022-01-07,-0.00011706599589822718
2022-01-10,0.0009535255009108221
2022-01-11,0.0008840005618219132
2022-01-12,0.0002058189815116209
2022-01-13,-0.003674430347198203
2022-01-14,-0.007696703378229838
2022-01-18,-0.004244439133321596
2022-01-19,-0.0014902016699170392
2022-01-20,-0.006715467149649146
2022-01-21,0.0006841655164280435
2022-01-24,0.014329873661129524
2022-01-25,-0.008269467404098372
2022-01-26,-0.0051876595939596565
2022-01-27,-0.005855651066874822
2022-01-28,-0.004505539839522223
2022-01-31,0.010593017062131907
2022-02-01,0.004625531194838276
2022-02-02,-0.003010488851030362
2022-02-03,0.002906649952775036
2022-02-04,-0.008879707223611212
2022-02-07,0.003252513776433476
2022-02-08,0.003850434041953845
2022-02-09,0.01526214604423817
2022-02-10,-0.0030133270980171123
2022-02-11,0.006560232958795783
2022-02-14,-0.0038376060086486893
2022-02-15,0.005600381233528014
2022-02-16,0.00539576366813572
2022-02-17,2.1135006992224623e-05
2022-02-18,0.0012267145135724722
2022-02-22,-0.002288497312027241
2022-02-23,0.00019767216421961282
2022-02-24,0.01960923531079598
2022-02-25,0.004875119948365569
2022-02-28,0.002699988886020869
2022-03-01,-0.006240349507887596
2022-03-02,0.011249335249472454
2022-03-03,0.0034631074421335793
2022-03-04,-0.011111913814287694
2022-03-07,-0.0128541139305889
2022-03-08,0.013157509139991481
2022-03-09,0.01238401140789367
2022-03-10,-0.001215022599826752
2022-03-11,0.0006345926145781849
2022-03-14,0.004872156707388234
2022-03-15,-0.0034190205486165468
2022-03-16,0.014173070654882033
2022-03-17,0.008005184531773155
2022-03-18,-0.0004024496635475697
2022-03-21,-0.00023256980545629768
2022-03-22,0.0017148609427289044
2022-03-23,-0.001827300785685719
2022-03-24,-0.0022665636944119013
2022-03-25,0.005008531034655222
2022-03-28,-0.010918202669642595
2022-03-29,0.012157289849931294
2022-03-30,-0.003364024454413415
2022-03-31,-0.0012722701068919695
2022-04-01,-0.0024892304222284174
2022-04-04,-0.005709249068000743
2022-04-05,-0.00918752770070779
2022-04-06,-0.0003731559536117218
2022-04-07,-0.006981038506805455
2022-04-08,0.007781354887185572
2022-04-11,0.0025870699138580353
2022-04-12,0.004985088353782511
2022-04-13,0.005999569733912895
2022-04-14,0.005493583271384589
2022-04-15,0.0
2022-04-18,0.0014633198203487326
2022-04-19,0.011391537598929989
2022-04-20,0.00041020189436310453
2022-04-21,-0.0032952044263516353
2022-04-22,-0.005316805237007332
2022-04-25,-0.0030534360551036236
2022-04-26,-0.004652507793239487
2022-04-27,-0.0013910850148092127
2022-04-28,-0.000834642154038055
2022-04-29,-0.0024907064120443
2022-05-02,2.6118921507679757e-05
2022-05-03,0.005747386062413474
2022-05-04,0.0038855420369669894
2022-05-05,-0.0030321526327075753
2022-05-06,-0.003151043067005396
2022-05-09,-0.008869896455681927
2022-05-10,-0.00368100742141106
2022-05-11,-0.0067816643904014436
2022-05-12,0.012979461672999439
2022-05-13,0.008434718353014424
2022-05-16,-0.008050829990845757
2022-05-17,0.015539793588333652
2022-05-18,-0.012617504811613263
2022-05-19,0.005884922777325664
2022-05-20,0.004061360118355779
2022-05-23,-0.0011174523618860863
2022-05-24,-0.002407616328590673
2022-05-25,0.017509354609044903
2022-05-26,0.013513346403718773
2022-05-27,0.004061741305166434
2022-05-31,-0.0032962575578044384
2022-06-01,-0.005882387877502943
2022-06-02,0.00975812911100743
2022-06-03,-0.0038620652985044777
2022-06-06,-0.002134327925982297
2022-06-07,0.0038132831571672894
2022-06-08,-0.010934078106327008
2022-06-09,-0.004359531751274698
2022-06-10,-7.167849670423277e-05
2022-06-13,-0.012288472571213712
2022-06-14,-0.0013880686022098862
2022-06-15,0.005330161630332765
2022-06-16,-0.009040244305660307
2022-06-17,0.007176149014405386
2022-06-21,-0.000614992920555169
2022-06-22,-0.0026836128282166903
2022-06-23,-0.010897763281079338
2022-06-24,0.010304592360103072
2022-06-27,0.006756194955100727
2022-06-28,0.012379248024589446
2022-06-29,-0.0142933268639433
2022-06-30,-0.001979918682356536
2022-07-01,-0.00973427588745411
2022-07-05,-0.012532089534202017
2022-07-06,-0.012515923150322824
2022-07-07,0.020560637089916664
2022-07-08,-0.004309465877234559
2022-07-11,0.0013395963540974384
2022-07-12,0.0073731412192838235
2022-07-13,-0.005122368505209258
2022-07-14,-0.01116410034548897
2022-07-15,0.010634436919381896
2022-07-18,0.01607287846328961
2022-07-19,0.009220839161221883
2022-07-20,0.006327884662708817
2022-07-21,-0.006893448647355965
2022-07-22,-0.004858561298302099
2022-07-25,0.011874152140866142
2022-07-26,-0.0022099713112057186
2022-07-27,0.0005014484202587082
2022-07-28,0.0003717264474588244
2022-07-29,-0.000516227859375186
2022-08-01,-0.00031650513501250505
2022-08-02,0.0012148838551421812
2022-08-03,-0.0028607116772948775
2022-08-04,-0.014087330429066137
2022-08-05,0.01220902668749081
2022-08-08,0.016303382565141026
2022-08-09,-0.0003302592091339962
2022-08-10,0.00488733852452284
2022-08-11,0.015626301512392145
2022-08-12,-0.0012396779215592178
2022-08-15,-0.00942646380130291
2022-08-16,-0.00020898851812402674
2022-08-17,-0.005040938442209154
2022-08-18,0.006519681318093651
2022-08-19,-0.006493413042273192
2022-08-22,-0.0013422880297968489
2022-08-23,0.008637086140263794
2022-08-24,0.0009364615231455358
2022-08-25,0.006940947561972818
2022-08-26,-0.006380259749194766
