date,Quantalpha,alpha158,alpha360
2022-01-03,-0.006841381258383961,-0.010105187658368653,-0.010105187658368653
2022-01-04,0.017619836816903156,-0.005851665674207807,-0.012790932229978513
2022-01-05,0.0397957275353269,0.010299575754527002,-0.006378350376682995
2022-01-06,0.05618529821663487,0.01676730425479178,0.0037094969158379953
2022-01-07,0.06544302421306636,0.02076639910948641,-0.006191058378501757
2022-01-10,0.06469278248231136,0.023210693945527883,-0.005007339031049884
2022-01-11,0.06209510721318856,0.014742615173934936,-0.003545230831500379
2022-01-12,0.06068857030422925,0.012092167219344585,-0.011469267269166639
2022-01-13,0.08718574246170108,0.022789153826357822,-0.012904444662677372
2022-01-14,0.08154509737045523,0.01407838491141189,-0.017263994273689076
2022-01-18,0.10192303700179073,0.028421001716195438,-0.0016041870965374239
2022-01-19,0.10842183712209907,0.0368533758231393,0.005322923044560612
2022-01-20,0.10838905452187286,0.04133456749936015,0.007817045752750662
2022-01-21,0.13181759067291976,0.06174368462056745,0.007587036123578139
2022-01-24,0.15682385059560655,0.07401544698981266,0.026544693999302593
2022-01-25,0.16673301737463286,0.07820672958838415,0.03723551311737605
2022-01-26,0.1602182716455225,0.07422703811049769,0.027814024231184176
2022-01-27,0.15658622451425508,0.07372047058752473,0.029273898872890003
2022-01-28,0.13071010410331696,0.04274022151339962,0.005161921570235428
2022-01-31,0.13234830805690878,0.03409284664268242,0.008755711293458202
2022-02-01,0.1343320610273686,0.031779100342332445,0.013094194392800684
2022-02-02,0.1300675171996324,0.01895097350406516,-0.014297828069631646
2022-02-03,0.1606012559540455,0.04676603704683213,0.006406943108490992
2022-02-04,0.14933233259873968,0.03207294886830159,0.013257797098337631
2022-02-07,0.1596476662343964,0.03925022516046961,0.02206823909796829
2022-02-08,0.16172524561445423,0.034520838176596236,0.012776498032926131
2022-02-09,0.16364433805539869,0.03529147761449769,0.020641553088351694
2022-02-10,0.17978154072907593,0.05092686257596046,0.03677325900471473
2022-02-11,0.20202048146531593,0.077756710330952,0.052105839472113
2022-02-14,0.19681388645574938,0.07775993001079895,0.040764074493301106
2022-02-15,0.19783137662363592,0.06680305668104847,0.03554211786645367
2022-02-16,0.19951908388876793,0.07161918474214723,0.034560786360323004
2022-02-17,0.22041388842955922,0.09433137429190719,0.057382959920119214
2022-02-18,0.2294109638740145,0.10351597454089378,0.061081993287655845
2022-02-22,0.2331325707304599,0.11218347028838305,0.06344557196301781
2022-02-23,0.2566441415004317,0.13288098540128424,0.08274240400266653
2022-02-24,0.253156445032225,0.13815157612633744,0.08650836036740817
2022-02-25,0.22671288859080407,0.11823670513729412,0.06738952343636795
2022-02-28,0.238518206412196,0.12398735060027466,0.07394172925695264
2022-03-01,0.239373290963925,0.13436527978719193,0.08363862117165977
2022-03-02,0.23486531078842665,0.12597853237749423,0.0680039239744914
2022-03-03,0.24125528331130397,0.13579455745719393,0.060324790907390735
2022-03-04,0.24777104097625635,0.13218514416846738,0.055456659393306795
2022-03-07,0.2815897239614229,0.15105193474043066,0.08234545102211177
2022-03-08,0.3253355731612979,0.17452332389031588,0.1090871075087736
2022-03-09,0.30267571498618717,0.15888543911436526,0.0960919182650608
2022-03-10,0.3101552999403281,0.16245109739073382,0.10748606253129522
2022-03-11,0.3297745450982401,0.17825592606345175,0.11236860295611484
2022-03-14,0.35112014474766373,0.1927404149370504,0.10461158429703898
2022-03-15,0.3303880458053845,0.16312754868915347,0.08335289220878983
2022-03-16,0.34003065651462916,0.15357745942755985,0.07198822154650864
2022-03-17,0.320733847928913,0.1485679114689047,0.08043378631186937
2022-03-18,0.3072971937333231,0.13471073179910298,0.07623507365001903
2022-03-21,0.2977111226079596,0.13494003559723522,0.08190448666513594
2022-03-22,0.28927463921078855,0.1240568057339071,0.07672132690981037
2022-03-23,0.295191015127682,0.1357980440488733,0.10522378313930325
2022-03-24,0.2791832708600164,0.1169318771608363,0.08359726522995681
2022-03-25,0.2746192450596694,0.11686749836318344,0.07550514328859204
2022-03-28,0.2560331144679002,0.09669335938886658,0.0657701238058872
2022-03-29,0.2580944069442397,0.09658449896211052,0.0569967017585995
2022-03-30,0.24659983053082946,0.09979713538555801,0.05160010160784756
2022-03-31,0.2638977751403224,0.11561250645254928,0.06502855932035034
2022-04-01,0.25906972994361577,0.10903100466535554,0.06402946023662404
2022-04-04,0.2459019793396342,0.09372618656254539,0.06126545845881304
2022-04-05,0.25306343576687573,0.0974056881023988,0.05697680615382472
2022-04-06,0.2621217728767451,0.10765958063925973,0.0638438120331597
2022-04-07,0.2547823032719232,0.09521565287548861,0.06039772238241392
2022-04-08,0.27506959235701367,0.1066413661167589,0.0741243392407287
2022-04-11,0.3063259054863312,0.1281814320152468,0.10064989446536243
2022-04-12,0.32022443222159014,0.1376610197767263,0.10850908480722632
2022-04-13,0.3118446172173277,0.13177362759836586,0.10849693617272993
2022-04-14,0.33646006938657735,0.1517355353433747,0.11904380167084061
2022-04-18,0.34374954976189387,0.1536568462506478,0.111358589565417
2022-04-19,0.3219027764582574,0.14827378507877143,0.10468709714912916
2022-04-20,0.337664586831649,0.14945499671168339,0.09416554673137423
2022-04-21,0.3443487949426156,0.1626251477998486,0.08329429605545857
2022-04-22,0.3732501529184227,0.18869498832647102,0.11143099675059731
2022-04-25,0.35343641000099435,0.17829228398904284,0.09888426910650927
2022-04-26,0.40214813187275555,0.20597484213514639,0.12641487637326176
2022-04-27,0.39968723583603705,0.20176702695712545,0.1253915626721942
2022-04-28,0.36357582910679254,0.1710239845076913,0.10561515975206448
