factor_name,annual_ic,annual_rank_ic,ic_ir,rank_ic_ir
GapZ10_Overnight_vs_TR,0.03327513565855332,0.07922092292509895,0.1755301110612799,0.3861585166566487
Gap_IntradayAcceptanceScore_20D,0.03287051843020579,0.07438600851873575,0.18398294103634194,0.38848636098222683
Gap_IntradayAcceptance_VolWeighted_20D,0.03138493754186892,0.06087454080003395,0.19836640372136466,0.345149465184499
CleanTrend_Continuation_Score_RS10_KLEN10_WVMA5,0.02680690363644942,0.059113575064939,0.14739826415693869,0.33418277413288283
OrderlyTrend_x_Absorption_10D_5D_20D,0.027019344241343283,0.046596934782789444,0.16791723920263812,0.26978888281636154
Liquidity_Rerating_DlvUp_IlliqDown_RangeVol_20_60,0.028683212196675672,0.0448957645039529,0.1683124403470302,0.24215176317863885
Trend_Squeeze_Pressure_Composite_120D_20D,0.02974222699516449,0.04423770948984227,0.13627664115914848,0.18968323194445794
DonchianWidthCompress20_HighBreak55_VolumeRatio20,0.023970306026800853,0.04290562489846528,0.15448437891511504,0.2614095108281598
Stealth_Accum_VolSurprise60_IlliqDown20_VolStd20_Pen20,0.028025863514162627,0.04180204433820086,0.1811616911071235,0.24840340387872367
VolSqueeze_ReturnStd20_BreakoutClose55_VolZ20_RangePos1,0.023745493312541326,0.041022766996981375,0.14392684317281498,0.2403444006155892
Mom120_RangeStdRatio_SignedCLV_5,0.02606192131889696,0.04019307172089011,0.15080809147816712,0.21638116526051895
BollingerSqueeze20_TSRankClose55_LogVolZ20,0.024355585924664122,0.03548111536725774,0.14269680213091882,0.18559884907025254
Uptrend_Squeeze_CLV_Composite_120_20_10,0.02031985619528907,0.0340472118899844,0.11530206613735144,0.17885670141999288
Exhaustion_Intensity_Index_10D,0.013141379099130797,0.032245288163341934,0.06804295077164663,0.14949436369485777
TrendSqueeze_CLVRank_120_20_5,0.017664209500020726,0.03207382871813528,0.10684425002144517,0.1649503679301494
Absorption_MomRev_Blend_60_20,0.02309993576284866,0.030895126402550318,0.12239729737562843,0.1878635016371792
Liquidity_Rerating_Score_20_60_20D,0.016576248466868095,0.029306845560860127,0.10435556227036917,0.17431235005188722
CLV5_BreakoutProx20_ZScore_Sum,0.02104436861698369,0.0280258529395185,0.11394939739178431,0.14026853602163045
TwoAxis_RegimeScore_Blend_60_20_Compact,0.01902895708207604,0.02787569265807777,0.10534334238922619,0.17590741935845108
Climax_Exhaustion_Intensity,0.019935022872350522,0.025446049028214516,0.09395944607462871,0.1071683557405747
Capitulation_Gated_Reversal_60D_20D,0.01045143858404241,0.02515492458715358,0.09533883338289022,0.23496465233038702
DirPressureCount_5_Squeeze20_MomSign120,0.012878913787346477,0.024140026824641815,0.1016896038426594,0.15369596266557803
Liquidity_Boundary_Reversal_5D,-0.0015489882437744094,0.021476974285569307,-0.029209345933239192,0.16064393089631204
IntradayContinuation10_CLVxVol,0.01528321284225556,0.019174321801549925,0.09614309533924717,0.11302682546025307
LAS_Gated_Overnight_Continuation_10D_Top40_LowVol80,0.01291543126992034,0.01837536124763923,0.11023668183358393,0.13674509705822063
Regime_TrendStrength_5D,0.018915480245533738,0.015953715047265726,0.12142014641348067,0.09412567150892234
GatedCleanTrend_OvernightReturn_10D_TQ30_Range70,0.0057896335867960455,0.015001978964333145,0.06353502493099385,0.14260434275610026
StableFlow_MomRev_Blend_60_5,0.005851684798409971,0.014851278008327999,0.030807426317597975,0.08039977356256504
Gated_Continuation_Mom_5D_by_Absorption_20D_60D,0.016544002881969267,0.014000487972767652,0.09985793837647153,0.07780721073630949
Relative_Climax_Reversal_Index,0.010982871238718625,0.012999810308265443,0.04992116745758371,0.05255658031234839
RangeVolCompression_TrendAligned_Linear_10_60_50_120,-0.0020981969936897664,0.012987956446245733,-0.01200690550116993,0.07067324594096766
Gap_CLV_ReversionScore_20D,0.006142521322189698,0.011488946807631035,0.05131445287194608,0.08169792240284113
Relative_Volatility_Force_Index,0.017799190124880862,0.011351255309724174,0.0916160828769539,0.052197020266361985
OvernightTrendQuality_Conviction_10D,0.006736760389929582,0.011234865513723677,0.06060019831205069,0.09593051785598807
Squeeze_to_Shock_Delta_LogRelVol_20_60_5_20,0.0074576542511053286,0.01117961156900277,0.05564939116971323,0.08279590448748998
Directional_ClimaxReversal_CLVsign_DV_ILLIQ_3_20_40,0.0018979325892046481,0.01097561254546062,0.016339992448106893,0.10021095738281706
Extreme_Capitulation_CorrZ_Gated_60D_20D_60D,-0.002978370254571424,0.010960890793918685,-0.030503208027470915,0.10670932232158253
Momentum_StrongClose_StreakCount_20_5,0.012248460889979393,0.009930762808068176,0.07750972463347604,0.056446023911777665
Asymmetric_Liquidity_Climax_V1,0.01695133275261629,0.009886151965148748,0.08424713518734131,0.044802675587223076
TrendFit_Quality_SlopeOverResidStd_10D,0.013450076904422516,0.009817227746324219,0.08346084288001661,0.05476254253904367
Sigmoid_BreakoutReadiness_RangeVol_10_60_120,-0.0017871613324131623,0.009612011801091414,-0.012543649811226442,0.06386816179815566
Overnight_Trend_Quality_10D,0.0018666571913554318,0.009125181970826079,0.024815006754669185,0.0673600247974074
Uptrend_Squeeze_Release_Composite_120_20_60_5_20,0.009851109782546177,0.008848574364248492,0.07693042590578242,0.06861848111581931
PV_Corr20_InvVolMAD5_CumRet5,0.008790927587501142,0.008612219477034437,0.1037219999663239,0.07066776442499945
TrendFitSlopeOverNoise_10D_5D,0.010497338602125405,0.008383527399475475,0.07681265389671199,0.04759048539516747
